,Average Fitness,Best Individual,Fitness Best,Fitness Worst
235,880.18,[1 1 1 ... 1 1 1],884,876
236,880.73,[1 1 1 ... 1 1 1],884,877
237,881.2,[1 1 1 ... 1 1 1],884,877
238,881.98,[1 1 1 ... 1 1 1],886,877
239,882.24,[1 1 1 ... 1 1 1],886,879
240,882.91,[0 1 1 ... 1 1 1],886,879
241,883.22,[1 1 1 ... 1 1 1],887,879
242,883.91,[1 1 1 ... 1 1 1],888,881
243,884.17,[1 1 1 ... 1 1 1],888,881
244,884.39,[1 1 1 ... 1 1 1],889,881
245,884.89,[1 1 1 ... 1 1 1],890,882
246,885.31,[1 1 1 ... 1 1 1],890,883
247,885.63,[1 1 1 ... 1 1 1],890,883
248,886.24,[1 1 1 ... 1 1 1],890,883
249,886.57,[1 1 1 ... 1 1 1],893,883
250,887.03,[1 1 1 ... 1 1 1],893,883
251,887.59,[1 1 1 ... 1 1 1],893,883
252,887.61,[1 1 1 ... 1 1 1],893,883
253,888.53,[1 1 1 ... 1 1 1],898,883
254,889.0,[1 1 1 ... 1 1 1],896,886
255,889.4,[1 1 1 ... 1 1 1],894,887
256,890.04,[1 1 1 ... 1 1 1],895,887
257,890.86,[1 1 1 ... 1 1 1],896,887
258,891.67,[1 1 1 ... 1 1 1],896,887
259,891.96,[1 1 1 ... 1 1 1],896,888
260,892.67,[1 1 1 ... 1 1 1],897,888
261,893.08,[1 1 1 ... 1 1 1],897,888
262,893.51,[1 1 1 ... 1 1 1],898,889
263,894.07,[1 1 1 ... 1 1 1],897,892
264,894.56,[1 1 1 ... 1 1 1],898,892
265,895.04,[1 1 1 ... 1 1 1],900,892
266,895.74,[1 1 1 ... 1 1 1],900,892
267,895.95,[1 1 1 ... 1 1 1],900,893
268,896.49,[1 1 1 ... 1 1 1],901,893
269,897.1,[1 1 1 ... 1 1 1],902,895
270,897.74,[1 1 1 ... 1 1 1],901,895
271,898.27,[1 1 1 ... 1 1 1],903,895
272,898.61,[1 1 1 ... 1 1 1],903,895
273,899.39,[1 1 1 ... 1 1 1],903,895
274,899.99,[1 1 1 ... 1 1 1],903,895
275,900.29,[1 1 1 ... 1 1 1],906,895
276,901.2,[1 1 1 ... 1 1 1],906,895
277,902.36,[1 1 1 ... 1 1 1],907,898
278,902.75,[1 1 1 ... 1 1 1],906,899
279,903.16,[1 1 1 ... 1 1 1],906,899
280,903.77,[1 1 1 ... 1 1 1],908,900
281,904.31,[1 1 1 ... 1 1 1],908,900
282,904.75,[1 1 1 ... 1 1 1],908,902
283,905.15,[1 1 1 ... 1 1 1],908,902
284,905.82,[1 1 1 ... 1 1 1],909,902
285,906.53,[1 1 1 ... 1 1 1],910,903
286,907.1,[1 1 1 ... 1 1 1],911,904
287,907.69,[1 1 1 ... 1 1 1],912,904
288,908.03,[1 1 1 ... 1 1 1],912,904
289,908.64,[1 1 1 ... 1 1 1],914,904
290,908.94,[1 1 1 ... 1 1 1],914,904
291,909.36,[1 1 1 ... 1 1 1],914,906
292,909.74,[1 1 1 ... 1 1 1],914,906
293,910.26,[1 1 1 ... 1 1 1],914,906
294,910.73,[1 1 1 ... 1 1 1],915,907
295,911.12,[1 1 1 ... 1 1 1],914,907
296,911.7,[1 1 1 ... 1 1 1],915,907
297,912.31,[1 1 1 ... 1 1 1],915,907
298,912.72,[1 1 1 ... 1 1 1],916,907
299,913.2,[1 1 1 ... 1 1 1],917,910
300,913.94,[1 1 1 ... 1 1 1],917,911
301,914.33,[1 1 1 ... 1 1 1],919,911
302,915.1,[1 1 1 ... 1 1 1],919,911
303,915.63,[1 1 1 ... 1 1 1],919,912
304,915.89,[1 1 1 ... 1 1 1],919,913
305,916.08,[1 1 1 ... 1 1 1],920,913
306,916.51,[1 1 1 ... 1 1 1],922,913
307,916.91,[1 1 1 ... 1 1 1],922,913
308,917.24,[1 1 1 ... 1 1 1],921,913
309,917.59,[1 1 1 ... 1 1 1],921,913
310,917.99,[1 1 1 ... 1 1 1],923,913
