mu,nu,psi,H,Combination
0.0,0.15,0.1,0.13004540230423856,Immune-Susceptible
0.0,0.15,0.1,0.2756443393139142,Immune-Highly Susceptible
0.0,0.15,0.1,0.2784137375403336,Susceptible-Highly Susceptible
0.0,0.15,0.15,0.14395973961793007,Immune-Susceptible
0.0,0.15,0.15,0.25056697347751966,Immune-Highly Susceptible
0.0,0.15,0.15,0.24812047512261015,Susceptible-Highly Susceptible
0.0,0.15,0.2,0.13052108523786804,Immune-Susceptible
0.0,0.15,0.2,0.25613184778960474,Immune-Highly Susceptible
0.0,0.15,0.2,0.2534162832026172,Susceptible-Highly Susceptible
0.0,0.15,0.25,0.14703083887429105,Immune-Susceptible
0.0,0.15,0.25,0.25964427612284663,Immune-Highly Susceptible
0.0,0.15,0.25,0.26013603737423024,Susceptible-Highly Susceptible
0.0,0.15,0.3,0.12141675894712115,Immune-Susceptible
0.0,0.15,0.3,0.27705738503451666,Immune-Highly Susceptible
0.0,0.15,0.3,0.26467568425519744,Susceptible-Highly Susceptible
0.0,0.15,0.35,0.13868396800750013,Immune-Susceptible
0.0,0.15,0.35,0.2797400998183511,Immune-Highly Susceptible
0.0,0.15,0.35,0.2738563300775978,Susceptible-Highly Susceptible
0.0,0.15,0.4,0.1632593070330447,Immune-Susceptible
0.0,0.15,0.4,0.30785075453867694,Immune-Highly Susceptible
0.0,0.15,0.4,0.30644816800413127,Susceptible-Highly Susceptible
0.0,0.15,0.45,0.13071018138889637,Immune-Susceptible
0.0,0.15,0.45,0.28956279331948553,Immune-Highly Susceptible
0.0,0.15,0.45,0.28389132512722964,Susceptible-Highly Susceptible
0.0,0.15,0.5,0.1523217282311045,Immune-Susceptible
0.0,0.15,0.5,0.3094452770850847,Immune-Highly Susceptible
0.0,0.15,0.5,0.3016187225765572,Susceptible-Highly Susceptible
0.0,0.15,0.55,0.15107197117482762,Immune-Susceptible
0.0,0.15,0.55,0.28609251078193526,Immune-Highly Susceptible
